subject,modulation_type,seuils_moyens,sd_seuils
1,AM,37.031351885999996,8.14816756216844
1,FM,22.945706408,4.74271032257781
2,AM,58.586661244000005,11.245699009912187
2,FM,49.503070632000004,18.914919941258812
3,AM,55.657123014,23.19283713267505
3,FM,39.832061916,12.239011983667265
4,AM,31.610315653999997,5.1662649169798085
4,FM,45.038474457999996,6.649024753571629
5,AM,20.644075022,6.369683336345952
5,FM,18.322424769999998,3.164196953579531
6,AM,42.05268486800001,12.44492380618053
6,FM,45.964782858,10.291968205125869
7,AM,69.39986637,18.614838382008728
7,FM,49.299137802000004,23.35053180336956
8,AM,39.268224122,9.844837054033693
8,FM,26.479984976000004,9.87235383971663
9,AM,22.707590396,3.5996972992603373
9,FM,31.234197478,6.925956495041586
10,AM,35.038168451999994,18.499997484672207
10,FM,27.483756965999998,7.743460435370378
