% run#   track#   exppar1[Hz]   exppar2[N/A]   exppar3[N/A]   expvar[Hz]   n.pres   n.correct calscript   dateStamp   timeStamp
1   1   500.00000000   0.76000000   FM   3.00000000   20   16   PC_HD600_audioengineD3   13-04-2019 17:00:26 
1   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   13-04-2019 17:00:26 
2   1   500.00000000   0.76000000   AM   3.00000000   20   15   PC_HD600_audioengineD3   13-04-2019 17:09:07 
2   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   13-04-2019 17:09:07 
3   1   500.00000000   0.76000000   AM   3.00000000   20   12   PC_HD600_audioengineD3   13-04-2019 17:34:05 
3   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   13-04-2019 17:34:05 
4   1   500.00000000   0.76000000   FM   3.00000000   20   15   PC_HD600_audioengineD3   13-04-2019 17:46:37 
4   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   13-04-2019 17:46:37 
5   1   500.00000000   0.76000000   AM   3.00000000   20   14   PC_HD600_audioengineD3   13-04-2019 18:01:40 
5   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   13-04-2019 18:01:40 
6   1   500.00000000   0.76000000   FM   3.00000000   20   16   PC_HD600_audioengineD3   13-04-2019 18:04:49 
6   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   13-04-2019 18:04:49 
7   1   500.00000000   0.76000000   AM   3.00000000   20   10   PC_HD600_audioengineD3   13-04-2019 18:18:13 
7   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   13-04-2019 18:18:13 
8   1   500.00000000   0.76000000   FM   3.00000000   20   16   PC_HD600_audioengineD3   15-04-2019 18:25:38 
8   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   15-04-2019 18:25:38 
9   1   500.00000000   0.76000000   FM   3.00000000   20   12   PC_HD600_audioengineD3   15-04-2019 18:44:22 
9   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   15-04-2019 18:44:22 
10   1   500.00000000   0.76000000   AM   3.00000000   20   13   PC_HD600_audioengineD3   15-04-2019 18:47:04 
10   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   15-04-2019 18:47:04 
11   1   500.00000000   0.76000000   FM   3.00000000   20   15   PC_HD600_audioengineD3   15-04-2019 19:04:03 
11   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   15-04-2019 19:04:03 
12   1   500.00000000   0.76000000   AM   3.00000000   20   13   PC_HD600_audioengineD3   15-04-2019 19:15:30 
12   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   15-04-2019 19:15:30 
13   1   500.00000000   0.76000000   AM   3.00000000   20   11   PC_HD600_audioengineD3   15-04-2019 19:25:11 
13   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   15-04-2019 19:25:11 
14   1   500.00000000   0.76000000   FM   3.00000000   20   18   PC_HD600_audioengineD3   15-04-2019 19:37:55 
14   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   15-04-2019 19:37:55 
15   1   500.00000000   0.76000000   AM   3.00000000   20   11   PC_HD600_audioengineD3   15-04-2019 19:53:12 
15   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   15-04-2019 19:53:12 
16   1   500.00000000   0.76000000   FM   3.00000000   20   14   PC_HD600_audioengineD3   23-04-2019 19:09:00 
16   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   23-04-2019 19:09:00 
17   1   500.00000000   0.76000000   FM   3.00000000   20   15   PC_HD600_audioengineD3   23-04-2019 19:22:03 
17   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   23-04-2019 19:22:03 
18   1   500.00000000   0.76000000   AM   3.00000000   20   16   PC_HD600_audioengineD3   23-04-2019 19:32:49 
18   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   23-04-2019 19:32:49 
19   1   500.00000000   0.76000000   FM   3.00000000   20   16   PC_HD600_audioengineD3   23-04-2019 19:47:42 
19   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   23-04-2019 19:47:42 
20   1   500.00000000   0.76000000   AM   3.00000000   20   15   PC_HD600_audioengineD3   23-04-2019 19:52:03 
20   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   23-04-2019 19:52:03 
