% run#   track#   exppar1[Hz]   exppar2[N/A]   exppar3[N/A]   expvar[Hz]   n.pres   n.correct calscript   dateStamp   timeStamp
1   1   500.00000000   0.76000000   FM   3.00000000   20   12   PC_HD600_audioengineD3   09-04-2019 09:22:01 
1   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   09-04-2019 09:22:01 
2   1   500.00000000   0.76000000   AM   3.00000000   20   11   PC_HD600_audioengineD3   10-04-2019 18:17:41 
2   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   10-04-2019 18:17:41 
3   1   500.00000000   0.76000000   AM   3.00000000   20   11   PC_HD600_audioengineD3   10-04-2019 18:24:35 
3   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   10-04-2019 18:24:35 
4   1   500.00000000   0.76000000   FM   3.00000000   20   13   PC_HD600_audioengineD3   10-04-2019 18:37:22 
4   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   10-04-2019 18:37:22 
5   1   500.00000000   0.76000000   FM   3.00000000   20   15   PC_HD600_audioengineD3   10-04-2019 18:58:09 
5   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   10-04-2019 18:58:09 
6   1   500.00000000   0.76000000   AM   3.00000000   20   10   PC_HD600_audioengineD3   10-04-2019 19:06:58 
6   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   10-04-2019 19:06:58 
7   1   500.00000000   0.76000000   AM   3.00000000   20   13   PC_HD600_audioengineD3   25-04-2019 15:45:16 
7   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   25-04-2019 15:45:16 
8   1   500.00000000   0.76000000   FM   3.00000000   20   15   PC_HD600_audioengineD3   25-04-2019 16:01:26 
8   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   25-04-2019 16:01:26 
9   1   500.00000000   0.76000000   FM   3.00000000   20   12   PC_HD600_audioengineD3   25-04-2019 16:09:09 
9   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   25-04-2019 16:09:09 
10   1   500.00000000   0.76000000   AM   3.00000000   20   15   PC_HD600_audioengineD3   25-04-2019 16:20:42 
10   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   25-04-2019 16:20:42 
11   1   500.00000000   0.76000000   AM   3.00000000   20   14   PC_HD600_audioengineD3   25-04-2019 16:48:35 
11   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   25-04-2019 16:48:35 
12   1   500.00000000   0.76000000   FM   3.00000000   20   16   PC_HD600_audioengineD3   25-04-2019 16:55:49 
12   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   25-04-2019 16:55:49 
13   1   500.00000000   0.76000000   FM   3.00000000   20   15   PC_HD600_audioengineD3   25-04-2019 17:08:28 
13   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   25-04-2019 17:08:28 
14   1   500.00000000   0.76000000   AM   3.00000000   20   15   PC_HD600_audioengineD3   25-04-2019 17:22:00 
14   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   25-04-2019 17:22:00 
