% run#   track#   exppar1[Hz]   exppar2[N/A]   exppar3[N/A]   expvar[Hz]   n.pres   n.correct calscript   dateStamp   timeStamp
1   1   500.00000000   0.76000000   AM   3.00000000   20   16   PC_HD600_audioengineD3   02-05-2019 15:43:07 
1   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   02-05-2019 15:43:07 
2   1   500.00000000   0.76000000   FM   3.00000000   20   16   PC_HD600_audioengineD3   02-05-2019 15:56:43 
2   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   02-05-2019 15:56:43 
3   1   500.00000000   0.76000000   AM   3.00000000   20   12   PC_HD600_audioengineD3   07-05-2019 15:40:11 
3   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   07-05-2019 15:40:11 
4   1   500.00000000   0.76000000   FM   3.00000000   20   16   PC_HD600_audioengineD3   07-05-2019 15:57:58 
4   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   07-05-2019 15:57:58 
5   1   500.00000000   0.76000000   AM   3.00000000   20   10   PC_HD600_audioengineD3   07-05-2019 16:00:55 
5   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   07-05-2019 16:00:55 
6   1   500.00000000   0.76000000   FM   3.00000000   20   18   PC_HD600_audioengineD3   07-05-2019 16:17:28 
6   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   07-05-2019 16:17:28 
7   1   500.00000000   0.76000000   AM   3.00000000   20   15   PC_HD600_audioengineD3   07-05-2019 16:32:40 
7   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   07-05-2019 16:32:40 
8   1   500.00000000   0.76000000   FM   3.00000000   20   11   PC_HD600_audioengineD3   07-05-2019 16:35:32 
8   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   07-05-2019 16:35:32 
