% run#   track#   exppar1[Hz]   exppar2[N/A]   exppar3[N/A]   expvar[Hz]   n.pres   n.correct calscript   dateStamp   timeStamp
1   1   500.00000000   0.76000000   FM   3.00000000   20   15   PC_HD600_audioengineD3   02-05-2019 15:40:26 
1   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   02-05-2019 15:40:26 
2   1   500.00000000   0.76000000   AM   3.00000000   20   12   PC_HD600_audioengineD3   02-05-2019 15:59:00 
2   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   02-05-2019 15:59:00 
3   1   500.00000000   0.76000000   FM   3.00000000   20   13   PC_HD600_audioengineD3   07-05-2019 15:32:42 
3   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   07-05-2019 15:32:42 
4   1   500.00000000   0.76000000   AM   3.00000000   20   14   PC_HD600_audioengineD3   07-05-2019 15:34:49 
4   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   07-05-2019 15:34:49 
5   1   500.00000000   0.76000000   AM   3.00000000   20   17   PC_HD600_audioengineD3   07-05-2019 16:19:37 
5   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   07-05-2019 16:19:37 
6   1   500.00000000   0.76000000   FM   3.00000000   20   14   PC_HD600_audioengineD3   07-05-2019 16:26:11 
6   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   07-05-2019 16:26:11 
7   1   500.00000000   0.76000000   FM   3.00000000   20   15   PC_HD600_audioengineD3   07-05-2019 16:44:52 
7   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   07-05-2019 16:44:52 
8   1   500.00000000   0.76000000   AM   3.00000000   20   13   PC_HD600_audioengineD3   07-05-2019 16:50:43 
8   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   07-05-2019 16:50:43 
