% run#   track#   exppar1[Hz]   exppar2[N/A]   exppar3[N/A]   expvar[Hz]   n.pres   n.correct calscript   dateStamp   timeStamp
1   1   500.00000000   0.76000000   FM   3.00000000   20   15   PC_HD600_audioengineD3   02-05-2019 15:45:18 
1   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   02-05-2019 15:45:18 
2   1   500.00000000   0.76000000   AM   3.00000000   20   9   PC_HD600_audioengineD3   02-05-2019 15:54:03 
2   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   02-05-2019 15:54:03 
3   1   500.00000000   0.76000000   AM   3.00000000   20   12   PC_HD600_audioengineD3   07-05-2019 15:48:22 
3   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   07-05-2019 15:48:22 
4   1   500.00000000   0.76000000   FM   3.00000000   20   16   PC_HD600_audioengineD3   07-05-2019 15:52:57 
4   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   07-05-2019 15:52:57 
5   1   500.00000000   0.76000000   AM   3.00000000   20   11   PC_HD600_audioengineD3   07-05-2019 16:05:11 
5   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   07-05-2019 16:05:11 
6   1   500.00000000   0.76000000   FM   3.00000000   20   12   PC_HD600_audioengineD3   07-05-2019 16:10:09 
6   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   07-05-2019 16:10:09 
7   1   500.00000000   0.76000000   FM   3.00000000   20   14   PC_HD600_audioengineD3   07-05-2019 16:21:47 
7   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   07-05-2019 16:21:47 
8   1   500.00000000   0.76000000   AM   3.00000000   20   16   PC_HD600_audioengineD3   07-05-2019 16:48:46 
8   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   07-05-2019 16:48:46 
9   1   500.00000000   0.76000000   FM   3.00000000   20   12   PC_HD600_audioengineD3   07-05-2019 16:55:14 
9   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   07-05-2019 16:55:14 
10   1   500.00000000   0.76000000   AM   3.00000000   20   18   PC_HD600_audioengineD3   13-05-2019 14:53:20 
10   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   13-05-2019 14:53:20 
11   1   500.00000000   0.76000000   AM   3.00000000   20   8   PC_HD600_audioengineD3   13-05-2019 15:06:53 
11   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   13-05-2019 15:06:53 
12   1   500.00000000   0.76000000   FM   3.00000000   20   15   PC_HD600_audioengineD3   13-05-2019 15:26:36 
12   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   13-05-2019 15:26:36 
13   1   500.00000000   0.76000000   AM   3.00000000   20   15   PC_HD600_audioengineD3   13-05-2019 15:56:43 
13   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   13-05-2019 15:56:43 
14   1   500.00000000   0.76000000   FM   3.00000000   20   17   PC_HD600_audioengineD3   13-05-2019 16:09:36 
14   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   13-05-2019 16:09:36 
15   1   500.00000000   0.76000000   AM   3.00000000   20   9   PC_HD600_audioengineD3   13-05-2019 16:23:25 
15   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   13-05-2019 16:23:25 
16   1   500.00000000   0.76000000   FM   3.00000000   20   14   PC_HD600_audioengineD3   14-05-2019 15:13:10 
16   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   14-05-2019 15:13:10 
17   1   500.00000000   0.76000000   FM   3.00000000   20   18   PC_HD600_audioengineD3   14-05-2019 15:43:45 
17   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   14-05-2019 15:43:45 
18   1   500.00000000   0.76000000   AM   3.00000000   20   12   PC_HD600_audioengineD3   14-05-2019 15:55:41 
18   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   14-05-2019 15:55:41 
19   1   500.00000000   0.76000000   FM   3.00000000   20   16   PC_HD600_audioengineD3   14-05-2019 16:17:25 
19   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   14-05-2019 16:17:25 
20   1   500.00000000   0.76000000   AM   3.00000000   20   10   PC_HD600_audioengineD3   14-05-2019 16:38:47 
20   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   14-05-2019 16:38:47 
