% run#   track#   exppar1[Hz]   exppar2[N/A]   exppar3[N/A]   expvar[Hz]   n.pres   n.correct calscript   dateStamp   timeStamp
1   1   500.00000000   0.76000000   FM   3.00000000   20   15   PC_HD600_audioengineD3   24-04-2019 14:44:27 
1   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   24-04-2019 14:44:27 
2   1   500.00000000   0.76000000   AM   3.00000000   20   16   PC_HD600_audioengineD3   24-04-2019 14:57:54 
2   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   24-04-2019 14:57:54 
3   1   500.00000000   0.76000000   AM   3.00000000   20   15   PC_HD600_audioengineD3   24-04-2019 15:02:40 
3   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   24-04-2019 15:02:40 
4   1   500.00000000   0.76000000   FM   3.00000000   20   11   PC_HD600_audioengineD3   24-04-2019 15:28:54 
4   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   24-04-2019 15:28:54 
5   1   500.00000000   0.76000000   AM   3.00000000   20   15   PC_HD600_audioengineD3   24-04-2019 15:37:36 
5   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   24-04-2019 15:37:36 
6   1   500.00000000   0.76000000   FM   3.00000000   20   13   PC_HD600_audioengineD3   24-04-2019 15:48:36 
6   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   24-04-2019 15:48:36 
7   1   500.00000000   0.76000000   FM   3.00000000   20   13   PC_HD600_audioengineD3   24-04-2019 15:53:27 
7   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   24-04-2019 15:53:27 
8   1   500.00000000   0.76000000   AM   3.00000000   20   20   PC_HD600_audioengineD3   25-04-2019 10:24:28 
8   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   25-04-2019 10:24:28 
9   1   500.00000000   0.76000000   FM   3.00000000   20   11   PC_HD600_audioengineD3   25-04-2019 10:39:54 
9   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   25-04-2019 10:39:54 
10   1   500.00000000   0.76000000   AM   3.00000000   20   14   PC_HD600_audioengineD3   25-04-2019 10:46:11 
10   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   25-04-2019 10:46:11 
11   1   500.00000000   0.76000000   FM   3.00000000   20   13   PC_HD600_audioengineD3   25-04-2019 10:59:13 
11   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   25-04-2019 10:59:13 
12   1   500.00000000   0.76000000   AM   3.00000000   20   11   PC_HD600_audioengineD3   25-04-2019 11:14:19 
12   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   25-04-2019 11:14:19 
