% run#   track#   exppar1[Hz]   exppar2[N/A]   exppar3[N/A]   expvar[Hz]   n.pres   n.correct calscript   dateStamp   timeStamp
1   1   500.00000000   0.76000000   FM   3.00000000   20   19   PC_HD600_audioengineD3   02-05-2019 17:49:53 
1   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   02-05-2019 17:49:53 
2   1   500.00000000   0.76000000   AM   3.00000000   20   11   PC_HD600_audioengineD3   03-05-2019 09:08:15 
2   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   03-05-2019 09:08:15 
3   1   500.00000000   0.76000000   AM   3.00000000   20   10   PC_HD600_audioengineD3   03-05-2019 09:12:59 
3   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   03-05-2019 09:12:59 
4   1   500.00000000   0.76000000   FM   3.00000000   20   12   PC_HD600_audioengineD3   03-05-2019 09:25:20 
4   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   03-05-2019 09:25:20 
5   1   500.00000000   0.76000000   FM   3.00000000   20   12   PC_HD600_audioengineD3   03-05-2019 09:34:36 
5   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   03-05-2019 09:34:36 
6   1   500.00000000   0.76000000   AM   3.00000000   20   14   PC_HD600_audioengineD3   03-05-2019 09:53:59 
6   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   03-05-2019 09:53:59 
7   1   500.00000000   0.76000000   FM   3.00000000   20   13   PC_HD600_audioengineD3   03-05-2019 10:00:05 
7   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   03-05-2019 10:00:05 
8   1   500.00000000   0.76000000   AM   3.00000000   20   17   PC_HD600_audioengineD3   06-05-2019 17:08:43 
8   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   06-05-2019 17:08:43 
9   1   500.00000000   0.76000000   AM   3.00000000   20   14   PC_HD600_audioengineD3   06-05-2019 17:18:30 
9   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   06-05-2019 17:18:30 
10   1   500.00000000   0.76000000   FM   3.00000000   20   19   PC_HD600_audioengineD3   06-05-2019 17:34:25 
10   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   06-05-2019 17:34:25 
11   1   500.00000000   0.76000000   AM   3.00000000   20   12   PC_HD600_audioengineD3   06-05-2019 17:40:49 
11   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   06-05-2019 17:40:49 
12   1   500.00000000   0.76000000   FM   3.00000000   20   12   PC_HD600_audioengineD3   06-05-2019 17:50:43 
12   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   06-05-2019 17:50:43 
13   1   500.00000000   0.76000000   AM   3.00000000   20   12   PC_HD600_audioengineD3   06-05-2019 17:57:11 
13   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   06-05-2019 17:57:11 
14   1   500.00000000   0.76000000   FM   3.00000000   20   16   PC_HD600_audioengineD3   06-05-2019 18:25:55 
14   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   06-05-2019 18:25:55 
15   1   500.00000000   0.76000000   AM   3.00000000   20   13   PC_HD600_audioengineD3   06-05-2019 18:30:08 
15   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   06-05-2019 18:30:08 
16   1   500.00000000   0.76000000   FM   3.00000000   20   12   PC_HD600_audioengineD3   06-05-2019 18:47:53 
16   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   06-05-2019 18:47:53 
17   1   500.00000000   0.76000000   FM   3.00000000   20   15   PC_HD600_audioengineD3   06-05-2019 18:52:05 
17   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   06-05-2019 18:52:05 
18   1   500.00000000   0.76000000   AM   3.00000000   20   13   PC_HD600_audioengineD3   06-05-2019 19:00:13 
18   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   06-05-2019 19:00:13 
19   1   500.00000000   0.76000000   FM   3.00000000   20   13   PC_HD600_audioengineD3   07-05-2019 09:21:53 
19   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   07-05-2019 09:21:53 
20   1   500.00000000   0.76000000   AM   3.00000000   20   13   PC_HD600_audioengineD3   07-05-2019 09:32:01 
20   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   07-05-2019 09:32:01 
