% run#   track#   exppar1[Hz]   exppar2[N/A]   exppar3[N/A]   expvar[Hz]   n.pres   n.correct calscript   dateStamp   timeStamp
1   1   500.00000000   0.76000000   FM   3.00000000   20   14   PC_HD600_audioengineD3   29-04-2019 16:50:39 
1   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   29-04-2019 16:50:39 
2   1   500.00000000   0.76000000   AM   3.00000000   20   15   PC_HD600_audioengineD3   29-04-2019 17:00:44 
2   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   29-04-2019 17:00:44 
3   1   500.00000000   0.76000000   FM   3.00000000   20   14   PC_HD600_audioengineD3   30-04-2019 09:19:42 
3   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   30-04-2019 09:19:42 
4   1   500.00000000   0.76000000   AM   3.00000000   20   14   PC_HD600_audioengineD3   30-04-2019 09:37:16 
4   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   30-04-2019 09:37:16 
5   1   500.00000000   0.76000000   AM   3.00000000   20   19   PC_HD600_audioengineD3   30-04-2019 09:50:09 
5   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   30-04-2019 09:50:09 
6   1   500.00000000   0.76000000   FM   3.00000000   20   13   PC_HD600_audioengineD3   02-05-2019 10:13:58 
6   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   02-05-2019 10:13:58 
7   1   500.00000000   0.76000000   FM   3.00000000   20   18   PC_HD600_audioengineD3   02-05-2019 10:25:52 
7   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   02-05-2019 10:25:52 
8   1   500.00000000   0.76000000   AM   3.00000000   20   14   PC_HD600_audioengineD3   02-05-2019 10:41:33 
8   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   02-05-2019 10:41:33 
9   1   500.00000000   0.76000000   AM   3.00000000   20   15   PC_HD600_audioengineD3   02-05-2019 10:48:18 
9   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   02-05-2019 10:48:18 
10   1   500.00000000   0.76000000   FM   3.00000000   20   14   PC_HD600_audioengineD3   02-05-2019 11:13:15 
10   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   02-05-2019 11:13:15 
11   1   500.00000000   0.76000000   AM   3.00000000   20   14   PC_HD600_audioengineD3   02-05-2019 11:25:37 
11   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   02-05-2019 11:25:37 
12   1   500.00000000   0.76000000   FM   3.00000000   20   16   PC_HD600_audioengineD3   02-05-2019 11:32:12 
12   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   02-05-2019 11:32:12 
13   1   500.00000000   0.76000000   AM   3.00000000   20   10   PC_HD600_audioengineD3   02-05-2019 11:47:13 
13   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   02-05-2019 11:47:13 
14   1   500.00000000   0.76000000   FM   3.00000000   20   14   PC_HD600_audioengineD3   02-05-2019 12:02:56 
14   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   02-05-2019 12:02:56 
15   1   500.00000000   0.76000000   FM   3.00000000   20   16   PC_HD600_audioengineD3   09-05-2019 08:24:11 
15   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   09-05-2019 08:24:11 
16   1   500.00000000   0.76000000   AM   3.00000000   20   16   PC_HD600_audioengineD3   09-05-2019 08:42:15 
16   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   09-05-2019 08:42:15 
17   1   500.00000000   0.76000000   AM   3.00000000   20   17   PC_HD600_audioengineD3   09-05-2019 08:52:26 
17   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   09-05-2019 08:52:26 
18   1   500.00000000   0.76000000   FM   3.00000000   20   15   PC_HD600_audioengineD3   09-05-2019 09:01:48 
18   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   09-05-2019 09:01:48 
19   1   500.00000000   0.76000000   AM   3.00000000   20   17   PC_HD600_audioengineD3   09-05-2019 09:12:00 
19   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   09-05-2019 09:12:00 
20   1   500.00000000   0.76000000   FM   3.00000000   20   14   PC_HD600_audioengineD3   09-05-2019 09:32:16 
20   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   09-05-2019 09:32:16 
