% run#   track#   exppar1[Hz]   exppar2[N/A]   exppar3[N/A]   expvar[Hz]   n.pres   n.correct calscript   dateStamp   timeStamp
1   1   500.00000000   0.76000000   FM   3.00000000   20   13   PC_HD600_audioengineD3   14-05-2019 11:29:13 
1   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   14-05-2019 11:29:13 
2   1   500.00000000   0.76000000   AM   3.00000000   20   15   PC_HD600_audioengineD3   14-05-2019 11:42:54 
2   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   14-05-2019 11:42:54 
3   1   500.00000000   0.76000000   AM   3.00000000   20   17   PC_HD600_audioengineD3   14-05-2019 11:51:25 
3   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   14-05-2019 11:51:25 
4   1   500.00000000   0.76000000   FM   3.00000000   20   11   PC_HD600_audioengineD3   14-05-2019 11:58:17 
4   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   14-05-2019 11:58:17 
