% run#   track#   exppar1[Hz]   exppar2[N/A]   exppar3[N/A]   expvar[Hz]   n.pres   n.correct calscript   dateStamp   timeStamp
1   1   500.00000000   0.76000000   AM   3.00000000   20   15   PC_HD600_audioengineD3   13-04-2019 17:04:26 
1   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   13-04-2019 17:04:26 
2   1   500.00000000   0.76000000   FM   3.00000000   20   14   PC_HD600_audioengineD3   13-04-2019 17:06:23 
2   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   13-04-2019 17:06:23 
3   1   500.00000000   0.76000000   FM   3.00000000   20   17   PC_HD600_audioengineD3   13-04-2019 17:31:29 
3   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   13-04-2019 17:31:29 
4   1   500.00000000   0.76000000   AM   3.00000000   20   13   PC_HD600_audioengineD3   13-04-2019 17:48:34 
4   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   13-04-2019 17:48:34 
5   1   500.00000000   0.76000000   FM   3.00000000   20   19   PC_HD600_audioengineD3   13-04-2019 17:54:22 
5   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   13-04-2019 17:54:22 
6   1   500.00000000   0.76000000   AM   3.00000000   20   10   PC_HD600_audioengineD3   13-04-2019 18:13:02 
6   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   13-04-2019 18:13:02 
7   1   500.00000000   0.76000000   FM   3.00000000   20   17   PC_HD600_audioengineD3   13-04-2019 18:20:01 
7   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   13-04-2019 18:20:01 
8   1   500.00000000   0.76000000   AM   3.00000000   20   13   PC_HD600_audioengineD3   15-04-2019 18:23:04 
8   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   15-04-2019 18:23:04 
9   1   500.00000000   0.76000000   FM   3.00000000   20   17   PC_HD600_audioengineD3   15-04-2019 18:39:23 
9   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   15-04-2019 18:39:23 
10   1   500.00000000   0.76000000   AM   3.00000000   20   15   PC_HD600_audioengineD3   15-04-2019 18:49:09 
10   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   15-04-2019 18:49:09 
11   1   500.00000000   0.76000000   FM   3.00000000   20   13   PC_HD600_audioengineD3   15-04-2019 19:08:17 
11   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   15-04-2019 19:08:17 
12   1   500.00000000   0.76000000   AM   3.00000000   20   15   PC_HD600_audioengineD3   15-04-2019 19:17:18 
12   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   15-04-2019 19:17:18 
13   1   500.00000000   0.76000000   AM   3.00000000   20   15   PC_HD600_audioengineD3   15-04-2019 19:35:31 
13   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   15-04-2019 19:35:31 
14   1   500.00000000   0.76000000   FM   3.00000000   20   12   PC_HD600_audioengineD3   15-04-2019 19:39:47 
14   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   15-04-2019 19:39:47 
15   1   500.00000000   0.76000000   FM   3.00000000   20   16   PC_HD600_audioengineD3   15-04-2019 19:50:29 
15   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   15-04-2019 19:50:29 
16   1   500.00000000   0.76000000   AM   3.00000000   20   17   PC_HD600_audioengineD3   23-04-2019 19:04:05 
16   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   23-04-2019 19:04:05 
17   1   500.00000000   0.76000000   FM   3.00000000   20   16   PC_HD600_audioengineD3   23-04-2019 19:15:31 
17   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   23-04-2019 19:15:31 
18   1   500.00000000   0.76000000   AM   3.00000000   20   18   PC_HD600_audioengineD3   23-04-2019 19:28:11 
18   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   23-04-2019 19:28:11 
19   1   500.00000000   0.76000000   FM   3.00000000   20   17   PC_HD600_audioengineD3   23-04-2019 19:34:39 
19   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   23-04-2019 19:34:39 
20   1   500.00000000   0.76000000   AM   3.00000000   20   17   PC_HD600_audioengineD3   23-04-2019 19:58:12 
20   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   23-04-2019 19:58:12 
