% run#   track#   exppar1[Hz]   exppar2[N/A]   exppar3[N/A]   expvar[Hz]   n.pres   n.correct calscript   dateStamp   timeStamp
1   1   500.00000000   0.76000000   FM   3.00000000   20   17   PC_HD600_audioengineD3   14-05-2019 11:26:56 
1   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   14-05-2019 11:26:56 
2   1   500.00000000   0.76000000   AM   3.00000000   20   15   PC_HD600_audioengineD3   14-05-2019 11:36:03 
2   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   14-05-2019 11:36:03 
3   1   500.00000000   0.76000000   AM   3.00000000   20   17   PC_HD600_audioengineD3   14-05-2019 11:53:28 
3   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   14-05-2019 11:53:28 
4   1   500.00000000   0.76000000   FM   3.00000000   20   17   PC_HD600_audioengineD3   14-05-2019 12:00:19 
4   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   14-05-2019 12:00:19 
