% run#   track#   exppar1[Hz]   exppar2[N/A]   exppar3[N/A]   expvar[Hz]   n.pres   n.correct calscript   dateStamp   timeStamp
1   1   500.00000000   0.76000000   AM   3.00000000   20   12   PC_HD600_audioengineD3   15-04-2019 14:46:17 
1   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   15-04-2019 14:46:17 
2   1   500.00000000   0.76000000   FM   3.00000000   20   17   PC_HD600_audioengineD3   15-04-2019 15:06:31 
2   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   15-04-2019 15:06:31 
3   1   500.00000000   0.76000000   FM   3.00000000   20   15   PC_HD600_audioengineD3   15-04-2019 15:15:13 
3   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   15-04-2019 15:15:13 
4   1   500.00000000   0.76000000   AM   3.00000000   20   12   PC_HD600_audioengineD3   15-04-2019 15:27:31 
4   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   15-04-2019 15:27:31 
5   1   500.00000000   0.76000000   AM   3.00000000   20   14   PC_HD600_audioengineD3   16-04-2019 16:08:07 
5   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   16-04-2019 16:08:07 
6   1   500.00000000   0.76000000   FM   3.00000000   20   16   PC_HD600_audioengineD3   16-04-2019 16:27:26 
6   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   16-04-2019 16:27:26 
7   1   500.00000000   0.76000000   AM   3.00000000   20   13   PC_HD600_audioengineD3   16-04-2019 16:37:39 
7   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   16-04-2019 16:37:39 
8   1   500.00000000   0.76000000   FM   3.00000000   20   14   PC_HD600_audioengineD3   16-04-2019 16:42:00 
8   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   16-04-2019 16:42:00 
9   1   500.00000000   0.76000000   FM   3.00000000   20   14   PC_HD600_audioengineD3   23-04-2019 16:10:56 
9   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   23-04-2019 16:10:56 
10   1   500.00000000   0.76000000   AM   3.00000000   20   14   PC_HD600_audioengineD3   23-04-2019 16:21:36 
10   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   23-04-2019 16:21:36 
11   1   500.00000000   0.76000000   AM   3.00000000   20   14   PC_HD600_audioengineD3   23-04-2019 16:36:00 
11   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   23-04-2019 16:36:00 
12   1   500.00000000   0.76000000   FM   3.00000000   20   17   PC_HD600_audioengineD3   23-04-2019 16:37:49 
12   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   23-04-2019 16:37:49 
13   1   500.00000000   0.76000000   FM   3.00000000   20   18   PC_HD600_audioengineD3   23-04-2019 16:51:59 
13   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   23-04-2019 16:51:59 
14   1   500.00000000   0.76000000   AM   3.00000000   20   17   PC_HD600_audioengineD3   23-04-2019 16:57:53 
14   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   23-04-2019 16:57:53 
15   1   500.00000000   0.76000000   FM   3.00000000   20   14   PC_HD600_audioengineD3   24-04-2019 19:14:12 
15   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   24-04-2019 19:14:12 
16   1   500.00000000   0.76000000   AM   3.00000000   20   18   PC_HD600_audioengineD3   24-04-2019 19:25:56 
16   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   24-04-2019 19:25:56 
17   1   500.00000000   0.76000000   FM   3.00000000   20   19   PC_HD600_audioengineD3   24-04-2019 19:35:57 
17   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   24-04-2019 19:35:57 
18   1   500.00000000   0.76000000   AM   3.00000000   20   16   PC_HD600_audioengineD3   24-04-2019 19:48:23 
18   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   24-04-2019 19:48:23 
19   1   500.00000000   0.76000000   AM   3.00000000   20   13   PC_HD600_audioengineD3   24-04-2019 20:06:17 
19   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   24-04-2019 20:06:17 
20   1   500.00000000   0.76000000   FM   3.00000000   20   20   PC_HD600_audioengineD3   24-04-2019 20:16:15 
20   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   24-04-2019 20:16:15 
