% run#   track#   exppar1[Hz]   exppar2[N/A]   exppar3[N/A]   expvar[Hz]   n.pres   n.correct calscript   dateStamp   timeStamp
1   1   500.00000000   0.76000000   AM   3.00000000   20   11   PC_HD600_audioengineD3   25-04-2019 19:24:48 
1   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   25-04-2019 19:24:48 
2   1   500.00000000   0.76000000   FM   3.00000000   20   18   PC_HD600_audioengineD3   25-04-2019 19:37:02 
2   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   25-04-2019 19:37:02 
3   1   500.00000000   0.76000000   FM   3.00000000   20   16   PC_HD600_audioengineD3   25-04-2019 19:47:16 
3   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   25-04-2019 19:47:16 
4   1   500.00000000   0.76000000   AM   3.00000000   20   13   PC_HD600_audioengineD3   25-04-2019 20:01:12 
4   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   25-04-2019 20:01:12 
5   1   500.00000000   0.76000000   AM   3.00000000   20   12   PC_HD600_audioengineD3   25-04-2019 20:08:06 
5   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   25-04-2019 20:08:06 
6   1   500.00000000   0.76000000   FM   3.00000000   20   17   PC_HD600_audioengineD3   06-05-2019 14:05:12 
6   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   06-05-2019 14:05:12 
7   1   500.00000000   0.76000000   AM   3.00000000   20   18   PC_HD600_audioengineD3   06-05-2019 14:15:37 
7   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   06-05-2019 14:15:37 
8   1   500.00000000   0.76000000   FM   3.00000000   20   16   PC_HD600_audioengineD3   06-05-2019 14:33:38 
8   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   06-05-2019 14:33:38 
9   1   500.00000000   0.76000000   AM   3.00000000   20   14   PC_HD600_audioengineD3   06-05-2019 14:35:47 
9   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   06-05-2019 14:35:47 
10   1   500.00000000   0.76000000   FM   3.00000000   20   12   PC_HD600_audioengineD3   06-05-2019 14:47:37 
10   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   06-05-2019 14:47:37 
11   1   500.00000000   0.76000000   AM   3.00000000   20   10   PC_HD600_audioengineD3   06-05-2019 15:01:31 
11   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   06-05-2019 15:01:31 
12   1   500.00000000   0.76000000   FM   3.00000000   20   18   PC_HD600_audioengineD3   06-05-2019 15:13:24 
12   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   06-05-2019 15:13:24 
13   1   500.00000000   0.76000000   AM   3.00000000   20   11   PC_HD600_audioengineD3   06-05-2019 15:27:28 
13   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   06-05-2019 15:27:28 
14   1   500.00000000   0.76000000   FM   3.00000000   20   15   PC_HD600_audioengineD3   06-05-2019 15:33:10 
14   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   06-05-2019 15:33:10 
15   1   500.00000000   0.76000000   FM   3.00000000   20   15   PC_HD600_audioengineD3   06-05-2019 15:41:18 
15   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   06-05-2019 15:41:18 
16   1   500.00000000   0.76000000   AM   3.00000000   20   12   PC_HD600_audioengineD3   07-05-2019 10:05:14 
16   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   07-05-2019 10:05:14 
17   1   500.00000000   0.76000000   FM   3.00000000   20   14   PC_HD600_audioengineD3   07-05-2019 10:09:38 
17   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   07-05-2019 10:09:38 
18   1   500.00000000   0.76000000   AM   3.00000000   20   14   PC_HD600_audioengineD3   07-05-2019 10:19:28 
18   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   07-05-2019 10:19:28 
19   1   500.00000000   0.76000000   FM   3.00000000   20   17   PC_HD600_audioengineD3   07-05-2019 10:33:27 
19   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   07-05-2019 10:33:27 
20   1   500.00000000   0.76000000   AM   3.00000000   20   14   PC_HD600_audioengineD3   07-05-2019 10:46:39 
20   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   07-05-2019 10:46:39 
