% run#   track#   exppar1[Hz]   exppar2[N/A]   exppar3[N/A]   expvar[Hz]   n.pres   n.correct calscript   dateStamp   timeStamp
1   1   500.00000000   0.76000000   AM   3.00000000   20   15   PC_HD600_audioengineD3   09-04-2019 09:20:04 
1   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   09-04-2019 09:20:04 
2   1   500.00000000   0.76000000   FM   3.00000000   20   16   PC_HD600_audioengineD3   10-04-2019 18:14:58 
2   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   10-04-2019 18:14:58 
3   1   500.00000000   0.76000000   AM   3.00000000   20   10   PC_HD600_audioengineD3   10-04-2019 18:30:17 
3   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   10-04-2019 18:30:17 
4   1   500.00000000   0.76000000   FM   3.00000000   20   10   PC_HD600_audioengineD3   10-04-2019 18:42:07 
4   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   10-04-2019 18:42:07 
5   1   500.00000000   0.76000000   FM   3.00000000   20   18   PC_HD600_audioengineD3   10-04-2019 18:52:48 
5   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   10-04-2019 18:52:48 
6   1   500.00000000   0.76000000   AM   3.00000000   20   13   PC_HD600_audioengineD3   10-04-2019 19:02:31 
6   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   10-04-2019 19:02:31 
7   1   500.00000000   0.76000000   AM   3.00000000   20   18   PC_HD600_audioengineD3   25-04-2019 15:47:12 
7   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   25-04-2019 15:47:12 
8   1   500.00000000   0.76000000   FM   3.00000000   20   11   PC_HD600_audioengineD3   25-04-2019 15:59:35 
8   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   25-04-2019 15:59:35 
9   1   500.00000000   0.76000000   FM   3.00000000   20   17   PC_HD600_audioengineD3   25-04-2019 16:11:17 
9   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   25-04-2019 16:11:17 
10   1   500.00000000   0.76000000   AM   3.00000000   20   14   PC_HD600_audioengineD3   25-04-2019 16:28:19 
10   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   25-04-2019 16:28:19 
11   1   500.00000000   0.76000000   AM   3.00000000   20   15   PC_HD600_audioengineD3   25-04-2019 16:50:31 
11   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   25-04-2019 16:50:31 
12   1   500.00000000   0.76000000   FM   3.00000000   20   15   PC_HD600_audioengineD3   25-04-2019 16:58:07 
12   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   25-04-2019 16:58:07 
13   1   500.00000000   0.76000000   FM   3.00000000   20   18   PC_HD600_audioengineD3   25-04-2019 17:15:36 
13   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   25-04-2019 17:15:36 
14   1   500.00000000   0.76000000   AM   3.00000000   20   15   PC_HD600_audioengineD3   25-04-2019 17:19:57 
14   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   25-04-2019 17:19:57 
15   1   500.00000000   0.76000000   FM   3.00000000   20   18   PC_HD600_audioengineD3   02-05-2019 18:01:00 
15   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   02-05-2019 18:01:00 
16   1   500.00000000   0.76000000   AM   3.00000000   20   17   PC_HD600_audioengineD3   02-05-2019 18:06:57 
16   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   02-05-2019 18:06:57 
17   1   500.00000000   0.76000000   AM   3.00000000   20   18   PC_HD600_audioengineD3   02-05-2019 18:20:36 
17   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   02-05-2019 18:20:36 
18   1   500.00000000   0.76000000   FM   3.00000000   20   17   PC_HD600_audioengineD3   02-05-2019 18:36:56 
18   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   02-05-2019 18:36:56 
19   1   500.00000000   0.76000000   FM   3.00000000   20   15   PC_HD600_audioengineD3   02-05-2019 18:45:01 
19   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   02-05-2019 18:45:01 
20   1   500.00000000   0.76000000   AM   3.00000000   20   18   PC_HD600_audioengineD3   02-05-2019 18:51:22 
20   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   02-05-2019 18:51:22 
