% run#   track#   exppar1[Hz]   exppar2[N/A]   exppar3[N/A]   expvar[Hz]   n.pres   n.correct calscript   dateStamp   timeStamp
1   1   500.00000000   0.76000000   FM   3.00000000   20   15   PC_HD600_audioengineD3   13-04-2019 16:56:58 
1   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   13-04-2019 16:56:58 
2   1   500.00000000   0.76000000   AM   3.00000000   20   13   PC_HD600_audioengineD3   13-04-2019 17:13:33 
2   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   13-04-2019 17:13:33 
3   1   500.00000000   0.76000000   FM   3.00000000   20   17   PC_HD600_audioengineD3   13-04-2019 17:29:16 
3   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   13-04-2019 17:29:16 
4   1   500.00000000   0.76000000   AM   3.00000000   20   15   PC_HD600_audioengineD3   13-04-2019 17:40:55 
4   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   13-04-2019 17:40:55 
5   1   500.00000000   0.76000000   AM   3.00000000   20   18   PC_HD600_audioengineD3   13-04-2019 17:57:02 
5   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   13-04-2019 17:57:02 
6   1   500.00000000   0.76000000   FM   3.00000000   20   17   PC_HD600_audioengineD3   13-04-2019 18:09:07 
6   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   13-04-2019 18:09:07 
7   1   500.00000000   0.76000000   FM   3.00000000   20   16   PC_HD600_audioengineD3   15-04-2019 18:21:12 
7   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   15-04-2019 18:21:12 
8   1   500.00000000   0.76000000   AM   3.00000000   20   15   PC_HD600_audioengineD3   15-04-2019 18:27:53 
8   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   15-04-2019 18:27:53 
9   1   500.00000000   0.76000000   FM   3.00000000   20   14   PC_HD600_audioengineD3   15-04-2019 18:37:28 
9   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   15-04-2019 18:37:28 
10   1   500.00000000   0.76000000   AM   3.00000000   20   13   PC_HD600_audioengineD3   15-04-2019 18:55:56 
10   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   15-04-2019 18:55:56 
11   1   500.00000000   0.76000000   AM   3.00000000   20   19   PC_HD600_audioengineD3   15-04-2019 19:01:07 
11   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   15-04-2019 19:01:07 
12   1   500.00000000   0.76000000   FM   3.00000000   20   16   PC_HD600_audioengineD3   15-04-2019 19:13:00 
12   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   15-04-2019 19:13:00 
13   1   500.00000000   0.76000000   AM   3.00000000   20   17   PC_HD600_audioengineD3   15-04-2019 19:21:53 
13   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   15-04-2019 19:21:53 
14   1   500.00000000   0.76000000   FM   3.00000000   20   14   PC_HD600_audioengineD3   15-04-2019 19:46:08 
14   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   15-04-2019 19:46:08 
15   1   500.00000000   0.76000000   AM   3.00000000   20   16   PC_HD600_audioengineD3   15-04-2019 20:01:17 
15   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   15-04-2019 20:01:17 
16   1   500.00000000   0.76000000   FM   3.00000000   20   14   PC_HD600_audioengineD3   23-04-2019 19:02:02 
16   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   23-04-2019 19:02:02 
17   1   500.00000000   0.76000000   FM   3.00000000   20   17   PC_HD600_audioengineD3   23-04-2019 19:13:24 
17   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   23-04-2019 19:13:24 
18   1   500.00000000   0.76000000   AM   3.00000000   20   17   PC_HD600_audioengineD3   23-04-2019 19:24:22 
18   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   23-04-2019 19:24:22 
19   1   500.00000000   0.76000000   FM   3.00000000   20   14   PC_HD600_audioengineD3   23-04-2019 19:39:08 
19   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   23-04-2019 19:39:08 
20   1   500.00000000   0.76000000   AM   3.00000000   20   16   PC_HD600_audioengineD3   23-04-2019 19:54:15 
20   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   23-04-2019 19:54:15 
