% run#   track#   exppar1[Hz]   exppar2[N/A]   exppar3[N/A]   expvar[Hz]   n.pres   n.correct calscript   dateStamp   timeStamp
1   1   500.00000000   0.76000000   AM   3.00000000   20   15   PC_HD600_audioengineD3   24-04-2019 14:40:06 
1   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   24-04-2019 14:40:06 
2   1   500.00000000   0.76000000   FM   3.00000000   20   12   PC_HD600_audioengineD3   24-04-2019 14:55:44 
2   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   24-04-2019 14:55:44 
3   1   500.00000000   0.76000000   FM   3.00000000   20   13   PC_HD600_audioengineD3   24-04-2019 15:17:48 
3   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   24-04-2019 15:17:48 
4   1   500.00000000   0.76000000   AM   3.00000000   20   15   PC_HD600_audioengineD3   24-04-2019 15:22:06 
4   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   24-04-2019 15:22:06 
5   1   500.00000000   0.76000000   AM   3.00000000   20   14   PC_HD600_audioengineD3   24-04-2019 15:39:57 
5   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   24-04-2019 15:39:57 
6   1   500.00000000   0.76000000   FM   3.00000000   20   12   PC_HD600_audioengineD3   24-04-2019 15:57:48 
6   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   24-04-2019 15:57:48 
7   1   500.00000000   0.76000000   FM   3.00000000   20   15   PC_HD600_audioengineD3   25-04-2019 10:33:25 
7   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   25-04-2019 10:33:25 
8   1   500.00000000   0.76000000   AM   3.00000000   20   19   PC_HD600_audioengineD3   25-04-2019 10:42:10 
8   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   25-04-2019 10:42:10 
9   1   500.00000000   0.76000000   FM   3.00000000   20   14   PC_HD600_audioengineD3   25-04-2019 10:53:10 
9   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   25-04-2019 10:53:10 
10   1   500.00000000   0.76000000   AM   3.00000000   20   13   PC_HD600_audioengineD3   25-04-2019 11:01:28 
10   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   25-04-2019 11:01:28 
11   1   500.00000000   0.76000000   AM   3.00000000   20   15   PC_HD600_audioengineD3   25-04-2019 11:16:39 
11   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   25-04-2019 11:16:39 
12   1   500.00000000   0.76000000   FM   3.00000000   20   14   PC_HD600_audioengineD3   30-04-2019 10:17:15 
12   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   30-04-2019 10:17:15 
13   1   500.00000000   0.76000000   FM   3.00000000   20   16   PC_HD600_audioengineD3   30-04-2019 10:30:59 
13   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   30-04-2019 10:30:59 
14   1   500.00000000   0.76000000   AM   3.00000000   20   15   PC_HD600_audioengineD3   30-04-2019 10:46:58 
14   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   30-04-2019 10:46:58 
15   1   500.00000000   0.76000000   AM   3.00000000   20   12   PC_HD600_audioengineD3   30-04-2019 10:58:34 
15   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   30-04-2019 10:58:34 
16   1   500.00000000   0.76000000   FM   3.00000000   20   14   PC_HD600_audioengineD3   30-04-2019 11:03:31 
16   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   30-04-2019 11:03:31 
