% run#   track#   exppar1[Hz]   exppar2[N/A]   exppar3[N/A]   expvar[Hz]   n.pres   n.correct calscript   dateStamp   timeStamp
1   1   500.00000000   0.76000000   AM   3.00000000   20   12   PC_HD600_audioengineD3   14-05-2019 11:31:34 
1   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   14-05-2019 11:31:34 
2   1   500.00000000   0.76000000   FM   3.00000000   20   14   PC_HD600_audioengineD3   14-05-2019 11:40:24 
2   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   14-05-2019 11:40:24 
3   1   500.00000000   0.76000000   AM   3.00000000   20   16   PC_HD600_audioengineD3   14-05-2019 11:46:49 
3   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   14-05-2019 11:46:49 
4   1   500.00000000   0.76000000   FM   3.00000000   20   15   PC_HD600_audioengineD3   14-05-2019 12:02:03 
4   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   14-05-2019 12:02:03 
5   1   500.00000000   0.76000000   AM   3.00000000   20   15   PC_HD600_audioengineD3   21-05-2019 09:29:04 
5   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   21-05-2019 09:29:04 
6   1   500.00000000   0.76000000   FM   3.00000000   20   13   PC_HD600_audioengineD3   21-05-2019 09:43:54 
6   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   21-05-2019 09:43:54 
7   1   500.00000000   0.76000000   AM   3.00000000   20   16   PC_HD600_audioengineD3   21-05-2019 09:54:39 
7   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   21-05-2019 09:54:39 
8   1   500.00000000   0.76000000   FM   3.00000000   20   8   PC_HD600_audioengineD3   21-05-2019 09:59:00 
8   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   21-05-2019 09:59:00 
9   1   500.00000000   0.76000000   FM   3.00000000   20   17   PC_HD600_audioengineD3   21-05-2019 10:09:50 
9   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   21-05-2019 10:09:50 
10   1   500.00000000   0.76000000   AM   3.00000000   20   13   PC_HD600_audioengineD3   21-05-2019 10:29:09 
10   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   21-05-2019 10:29:09 
11   1   500.00000000   0.76000000   AM   3.00000000   20   12   PC_HD600_audioengineD3   21-05-2019 10:35:08 
11   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   21-05-2019 10:35:08 
12   1   500.00000000   0.76000000   FM   3.00000000   20   13   PC_HD600_audioengineD3   21-05-2019 10:48:18 
12   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   21-05-2019 10:48:18 
13   1   500.00000000   0.76000000   AM   3.00000000   20   17   PC_HD600_audioengineD3   21-05-2019 11:03:43 
13   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   21-05-2019 11:03:43 
14   1   500.00000000   0.76000000   FM   3.00000000   20   14   PC_HD600_audioengineD3   18-06-2019 11:06:02 
14   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   18-06-2019 11:06:02 
15   1   500.00000000   0.76000000   FM   3.00000000   20   16   PC_HD600_audioengineD3   18-06-2019 11:12:09 
15   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   18-06-2019 11:12:09 
16   1   500.00000000   0.76000000   AM   3.00000000   20   19   PC_HD600_audioengineD3   18-06-2019 11:20:31 
16   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   18-06-2019 11:20:31 
17   1   500.00000000   0.76000000   AM   3.00000000   20   19   PC_HD600_audioengineD3   18-06-2019 11:31:22 
17   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   18-06-2019 11:31:22 
18   1   500.00000000   0.76000000   FM   3.00000000   20   10   PC_HD600_audioengineD3   18-06-2019 11:39:22 
18   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   18-06-2019 11:39:22 
19   1   500.00000000   0.76000000   AM   3.00000000   20   13   PC_HD600_audioengineD3   18-06-2019 11:52:12 
19   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   18-06-2019 11:52:12 
20   1   500.00000000   0.76000000   FM   3.00000000   20   10   PC_HD600_audioengineD3   18-06-2019 12:07:09 
20   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   18-06-2019 12:07:09 
