% run#   track#   exppar1[Hz]   exppar2[N/A]   exppar3[N/A]   expvar[Hz]   n.pres   n.correct calscript   dateStamp   timeStamp
1   1   500.00000000   0.76000000   FM   3.00000000   20   16   PC_HD600_audioengineD3   25-04-2019 19:29:20 
1   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   25-04-2019 19:29:20 
2   1   500.00000000   0.76000000   AM   3.00000000   20   16   PC_HD600_audioengineD3   25-04-2019 19:43:14 
2   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   25-04-2019 19:43:14 
3   1   500.00000000   0.76000000   AM   3.00000000   20   12   PC_HD600_audioengineD3   25-04-2019 19:51:02 
3   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   25-04-2019 19:51:02 
4   1   500.00000000   0.76000000   FM   3.00000000   20   17   PC_HD600_audioengineD3   25-04-2019 19:59:01 
4   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   25-04-2019 19:59:01 
5   1   500.00000000   0.76000000   AM   3.00000000   20   14   PC_HD600_audioengineD3   06-05-2019 14:01:11 
5   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   06-05-2019 14:01:11 
6   1   500.00000000   0.76000000   FM   3.00000000   20   16   PC_HD600_audioengineD3   06-05-2019 14:11:03 
6   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   06-05-2019 14:11:03 
7   1   500.00000000   0.76000000   AM   3.00000000   20   13   PC_HD600_audioengineD3   06-05-2019 14:17:36 
7   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   06-05-2019 14:17:36 
8   1   500.00000000   0.76000000   FM   3.00000000   20   19   PC_HD600_audioengineD3   06-05-2019 14:27:17 
8   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   06-05-2019 14:27:17 
9   1   500.00000000   0.76000000   AM   3.00000000   20   16   PC_HD600_audioengineD3   06-05-2019 14:43:43 
9   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   06-05-2019 14:43:43 
10   1   500.00000000   0.76000000   FM   3.00000000   20   16   PC_HD600_audioengineD3   06-05-2019 14:51:51 
10   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   06-05-2019 14:51:51 
11   1   500.00000000   0.76000000   FM   3.00000000   20   16   PC_HD600_audioengineD3   06-05-2019 14:57:35 
11   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   06-05-2019 14:57:35 
12   1   500.00000000   0.76000000   AM   3.00000000   20   14   PC_HD600_audioengineD3   06-05-2019 15:11:18 
12   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   06-05-2019 15:11:18 
13   1   500.00000000   0.76000000   FM   3.00000000   20   15   PC_HD600_audioengineD3   06-05-2019 15:25:19 
13   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   06-05-2019 15:25:19 
14   1   500.00000000   0.76000000   AM   3.00000000   20   15   PC_HD600_audioengineD3   06-05-2019 15:36:53 
14   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   06-05-2019 15:36:53 
15   1   500.00000000   0.76000000   FM   3.00000000   20   15   PC_HD600_audioengineD3   06-05-2019 15:43:14 
15   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   06-05-2019 15:43:14 
16   1   500.00000000   0.76000000   AM   3.00000000   20   11   PC_HD600_audioengineD3   07-05-2019 09:59:31 
16   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   07-05-2019 09:59:31 
17   1   500.00000000   0.76000000   AM   3.00000000   20   18   PC_HD600_audioengineD3   07-05-2019 10:13:22 
17   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   07-05-2019 10:13:22 
18   1   500.00000000   0.76000000   FM   3.00000000   20   16   PC_HD600_audioengineD3   07-05-2019 10:23:43 
18   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   07-05-2019 10:23:43 
19   1   500.00000000   0.76000000   FM   3.00000000   20   15   PC_HD600_audioengineD3   07-05-2019 10:31:20 
19   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   07-05-2019 10:31:20 
20   1   500.00000000   0.76000000   AM   3.00000000   20   14   PC_HD600_audioengineD3   07-05-2019 10:41:13 
20   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   07-05-2019 10:41:13 
