% run#   track#   exppar1[Hz]   exppar2[N/A]   exppar3[N/A]   expvar[Hz]   n.pres   n.correct calscript   dateStamp   timeStamp
1   1   500.00000000   0.76000000   FM   3.00000000   20   19   PC_HD600_audioengineD3   25-04-2019 19:27:21 
1   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   25-04-2019 19:27:21 
2   1   500.00000000   0.76000000   AM   3.00000000   20   13   PC_HD600_audioengineD3   25-04-2019 19:39:23 
2   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   25-04-2019 19:39:23 
3   1   500.00000000   0.76000000   AM   3.00000000   20   7   PC_HD600_audioengineD3   25-04-2019 19:53:26 
3   1   500.00000000   0.76000000   AM   3.10000000   0   0   PC_HD600_audioengineD3   25-04-2019 19:53:26 
4   1   500.00000000   0.76000000   FM   3.00000000   20   20   PC_HD600_audioengineD3   25-04-2019 20:03:37 
4   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   25-04-2019 20:03:37 
5   1   500.00000000   0.76000000   FM   3.00000000   20   14   PC_HD600_audioengineD3   25-04-2019 20:05:56 
5   1   500.00000000   0.76000000   FM   3.10000000   0   0   PC_HD600_audioengineD3   25-04-2019 20:05:56 
